rule_id,family,direction
or_retest|long|buffer_points=0|confirm_pattern=simple|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|start=09:45|stop_mode=or_fraction|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,or_retest,long
or_retest|long|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|start=09:45|stop_mode=or_fraction|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,or_retest,long
or_retest|long|buffer_points=0|confirm_pattern=simple|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.5|start=09:45|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long
fade|short|buffer_points=8|ema_ext=20|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=beyond_or|pattern=red_close|rsi_mode=not_bear|start=09:45|stop_mode=signal_extreme|target_mode=vwap|time_exit=12:00|vwap_ext=20,fade_extreme,short
fade|long|buffer_points=0|ema_ext=10|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=beyond_or|pattern=close_prev_high|rsi_mode=not_bull|start=09:45|stop_mode=fixed|stop_points=30|target_mode=vwap|time_exit=12:00|vwap_ext=10,fade_extreme,long
fade|long|buffer_points=0|ema_ext=0|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=beyond_or|pattern=close_prev_high|rsi_mode=not_bull|start=09:45|stop_mode=fixed|stop_points=30|target_mode=vwap|time_exit=12:00|vwap_ext=0,fade_extreme,long
fade|long|buffer_points=0|ema_ext=20|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=beyond_or|pattern=close_prev_high|rsi_mode=not_bull|start=09:45|stop_mode=fixed|stop_points=30|target_mode=vwap|time_exit=12:00|vwap_ext=20,fade_extreme,long
fade|short|buffer_points=8|ema_ext=20|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=none|pattern=red_close|rr=1.5|rsi_mode=not_bear|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|vwap_ext=20,fade_extreme,short
fade|short|buffer_points=0|ema_ext=0|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=none|pattern=red_close|rr=1.5|rsi_mode=not_bear|start=09:45|stop_mode=fixed|stop_points=30|target_mode=rr|time_exit=12:00|vwap_ext=0,fade_extreme,short
fade|short|buffer_points=8|ema_ext=20|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=beyond_or|pattern=red_close|rr=1.5|rsi_mode=not_bear|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|vwap_ext=20,fade_extreme,short
fade|short|buffer_points=8|ema_ext=10|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=beyond_or|pattern=red_close|rsi_mode=not_bear|start=10:00|stop_mode=signal_extreme|target_mode=vwap|time_exit=12:00|vwap_ext=10,fade_extreme,short
fade|short|buffer_points=8|ema_ext=20|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=none|pattern=red_close|rsi_mode=not_bear|start=10:00|stop_mode=signal_extreme|target_mode=vwap|time_exit=12:00|vwap_ext=20,fade_extreme,short
fade|long|buffer_points=0|ema_ext=0|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=none|pattern=close_prev_high|rr=1.5|rsi_mode=not_bull|start=10:00|stop_mode=fixed|stop_points=30|target_mode=rr|time_exit=12:00|vwap_ext=0,fade_extreme,long
fade|short|buffer_points=8|ema_ext=10|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=none|pattern=red_close|rsi_mode=not_bear|start=10:00|stop_mode=signal_extreme|target_mode=vwap|time_exit=12:00|vwap_ext=10,fade_extreme,short
fade|short|buffer_points=8|ema_ext=20|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=none|pattern=red_close|rsi_mode=not_bear|start=09:45|stop_mode=signal_extreme|target_mode=vwap|time_exit=12:00|vwap_ext=20,fade_extreme,short
fade|short|buffer_points=8|ema_ext=20|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=beyond_or|pattern=red_close|rsi_mode=not_bear|start=10:00|stop_mode=signal_extreme|target_mode=vwap|time_exit=12:00|vwap_ext=20,fade_extreme,short
fade|short|buffer_points=8|ema_ext=10|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=none|pattern=red_close|rsi_mode=not_bear|start=09:45|stop_mode=signal_extreme|target_mode=or_mid|time_exit=12:00|vwap_ext=10,fade_extreme,short
fade|long|buffer_points=0|ema_ext=0|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=beyond_or|pattern=close_prev_high|rsi_mode=not_bull|start=10:00|stop_mode=fixed|stop_points=30|target_mode=vwap|time_exit=12:00|vwap_ext=0,fade_extreme,long
fade|long|buffer_points=0|ema_ext=10|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=beyond_or|pattern=close_prev_high|rsi_mode=not_bull|start=10:00|stop_mode=fixed|stop_points=30|target_mode=vwap|time_exit=12:00|vwap_ext=10,fade_extreme,long
fade|long|buffer_points=0|ema_ext=20|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=beyond_or|pattern=close_prev_high|rsi_mode=not_bull|start=10:00|stop_mode=fixed|stop_points=30|target_mode=vwap|time_exit=12:00|vwap_ext=20,fade_extreme,long
fade|short|buffer_points=0|ema_ext=0|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=none|pattern=close_prev_low|rr=1.5|rsi_mode=not_bear|start=10:00|stop_mode=fixed|stop_points=30|target_mode=rr|time_exit=12:00|vwap_ext=0,fade_extreme,short
